Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Inscription Concours EST 2025/2026,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,2 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-est-2025-2026/
Industrie automobile: offres d’emploi chez Voltaira Morocco,Non spécifié,Non spécifié,Automobile,Non spécifié,Bac+4,5 ans,"5S, SPC","Français, Anglais","Gestion de projet, Innovation",https://www.dreamjob.ma/emploi/industrie-automobile-offres-demploi-chez-voltaira-morocco/
Concours de Recrutement ONCF 2025 (112 Postes),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Procédés",Non spécifié,Non spécifié,35 ans,Non spécifié,"Français, Arabe","Communication, Innovation",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-112-postes/
El Jadida: des opportunités techniques chez Nestlé dans l’agroalimentaire,Non spécifié,El Jadida,Agroalimentaire,Non spécifié,Bac+2,150 ans,5S,"Français, Anglais","Initiative, Innovation, Leadership",https://www.dreamjob.ma/emploi/el-jadida-des-opportunites-techniques-chez-nestle-dans-lagroalimentaire/
Concours Pratt & Whitney à l’IMA: une opportunité unique le 2 juillet 2025,Non spécifié,Non spécifié,Aéronautique,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Innovation, Organisé",https://www.dreamjob.ma/formations/concours-pratt-whitney-a-lima-une-opportunite-unique-le-2-juillet-2025/
L’Université Mundiapolis recrute: 15 postes à pourvoir dans l’enseignement et la santé,L’Université Mundiapolis,Non spécifié,"Aéronautique, Logistique",Non spécifié,Non spécifié,25 ans,Non spécifié,"Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/luniversite-mundiapolis-recrute-15-postes-a-pourvoir-dans-lenseignement-et-la-sante/
Inscription Concours EMI Rabat 2025/2026,Non spécifié,Rabat,"Procédés, Recherche scientifique",Non spécifié,Non spécifié,22 ans,Modélisation,Non specifié,Créativité,https://www.dreamjob.ma/orientation/inscription-concours-emi-rabat-2025-2026/
CDI chez EATON: boostez votre carrière dans la gestion de l’énergie,Non spécifié,Non spécifié,"Procédés, Énergie",CDI,"Bac+2, bac+3, bac+5",Non spécifié,"Autocad, SAP, SOLIDWORKS","Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/cdi-chez-eaton-boostez-votre-carriere-dans-la-gestion-de-lenergie/
Rejoignez Mundiapolis: 16 postes ouverts pour enseignants et professionnels de santé,Non spécifié,Non spécifié,"Aéronautique, Logistique",Non spécifié,Non spécifié,25 ans,Non spécifié,"Français, Anglais","Communication, Initiative, Innovation",https://www.dreamjob.ma/emploi/rejoignez-mundiapolis-16-postes-ouverts-pour-enseignants-et-professionnels-de-sante/
Rejoignez Martur Fompak à Tanger: poste de technicien pièces de rechange,Non spécifié,Tanger,"Automobile, Logistique",Non spécifié,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Innovation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/rejoignez-martur-fompak-a-tanger-poste-de-technicien-pieces-de-rechange/
Résultats Concours ONCF 2025 (380 Techniciens Spécialisés),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Bac+2,15 ans,Non spécifié,Non specifié,"Autonomie, Initiative",https://www.dreamjob.ma/emploi-public/resultats-concours-oncf-2025-380-techniciens-specialises/
COFAT Maroc recrute des techniciens maintenance à Kénitra,COFAT Maroc,Kénitra,Automobile,Stage,Bac+2,Non spécifié,Non spécifié,"Français, Anglais","Autonome, Communication, Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/cofat-maroc-recrute-des-techniciens-maintenance-a-kenitra/
Inscription Concours IFMIA Tanger 2025/2026,Non spécifié,Tanger,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,Initiative,https://www.dreamjob.ma/orientation/inscription-concours-ifmia-tanger-2025-2026/
Inscription Concours IFMIA Kénitra 2025/2026,Non spécifié,Kénitra,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,"Initiative, Organisation",https://www.dreamjob.ma/orientation/inscription-concours-ifmia-kenitra-2025-2026/
L’UEMF lance une Grande Campagne de Recrutement (+50 Postes),Non spécifié,Fès,"Chimie, Recherche scientifique",Stage,Non spécifié,Non spécifié,Robotique,Non specifié,Innovation,https://www.dreamjob.ma/emploi/luemf-lance-une-grande-campagne-de-recrutement/
Liste des Convoqués Oral Concours de Recrutement ONCF 2025 (170 Postes),Non spécifié,Non spécifié,Ferroviaire,Non spécifié,Bac+3,30 ans,Non spécifié,Non specifié,"Initiative, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi-public/liste-des-convoques-oral-concours-de-recrutement-oncf-2025-170-postes/
Carrière dans l’aéronautique: postulez chez SAM dès maintenant,Non spécifié,Non spécifié,"Aéronautique, Logistique, Procédés",CDI,"Bac+2, bac+3",Non spécifié,CATIA,Non specifié,"Innovation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/carriere-dans-laeronautique-postulez-chez-sam-des-maintenant/
Inscription Concours IFMIA Casablanca 2025/2026,Non spécifié,Casablanca,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,Initiative,https://www.dreamjob.ma/etudiants/inscription-concours-ifmia-casablanca-2025-2026/
Postulez dès maintenant chez Sonasid: 20+ postes ouverts dans divers métiers,Non spécifié,Non spécifié,Logistique,CDI,"Bac+3, bac+4, bac+5",1 à 5 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/postulez-des-maintenant-chez-sonasid-20-postes-ouverts-dans-divers-metiers/
Rejoignez SEWS CABIND Maroc en tant que Technicien Maintenance,Non spécifié,Berrechid,Automobile,Non spécifié,Bac+2,Non spécifié,Non spécifié,Non specifié,"Innovation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/rejoignez-sews-cabind-maroc-en-tant-que-technicien-maintenance/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Opportunité à Jorf: devenez Chef de Projet chez SIDEN,Non spécifié,Jorf,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Gestion de projet, Rigueur",https://www.dreamjob.ma/emploi/opportunite-a-jorf-devenez-chef-de-projet-chez-siden/
"SNEP recrute des profils expérimentés en Supply Chain, Finance et Maintenance",SNEP,Non spécifié,"Agroalimentaire, Automobile, Btp, Logistique",Non spécifié,Non spécifié,50 ans,Non spécifié,Non specifié,"Communication, Innovation",https://www.dreamjob.ma/emploi/snep-recrute-des-profils-experimentes-en-supply-chain-finance-et-maintenance/
Liste des Convoqués Concours de Recrutement ONCF 2025 (170 Postes),Non spécifié,Non spécifié,Ferroviaire,Non spécifié,Bac+3,30 ans,Non spécifié,Non specifié,"Initiative, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-de-recrutement-oncf-2025-170-postes/
SNEP recrute des profils expérimentés – Postulez dès maintenant,SNEP,Mohammedia,"Agroalimentaire, Automobile, Btp, Logistique",Non spécifié,Non spécifié,8 ans,Non spécifié,Non specifié,"Communication, Innovation",https://www.dreamjob.ma/emploi/snep-recrute-des-profils-experimentes-postulez-des-maintenant/
Groupe Dama recrute Plusieurs Profils pour son Client Fluoralpha,Groupe Dama,Non spécifié,"Chimie, Logistique, Procédés",Non spécifié,"Bac+2, bac+3, bac+5",5 à 10 ans,"ERP, SAP","Français, Anglais, Arabe","Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/groupe-dama-recrute-plusieurs-profils-pour-son-client-fluoralpha/
(6) Offres d’emploi et stages PFE chez Saint-Gobain – Postulez dès maintenant,Non spécifié,Non spécifié,"Btp, Chimie, Construction, Procédés",Stage,Bac+5,0 à 2 ans,"ERP, SAP","Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/6-offres-demploi-et-stages-pfe-chez-saint-gobain-postulez-des-maintenant/
Gestamp recherche des Techniciens Outilleurs pour son site de Kénitra,Non spécifié,Kénitra,Automobile,Stage,Bac+3,Non spécifié,Non spécifié,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/gestamp-recherche-des-techniciens-outilleurs-pour-son-site-de-kenitra/
Emploi en agriculture: Plusieurs postes disponibles chez Pepper World,Non spécifié,Biougra,Agroalimentaire,Non spécifié,Bac+2,Non spécifié,Non spécifié,Non specifié,"Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/emploi-en-agriculture-plusieurs-postes-disponibles-chez-pepper-world/
JTEKT recrute des Chargés de Méthodes Assemblage à Tanger – Opportunité en CDI,JTEKT,Tanger,Automobile,CDI,Bac+3,3 ans,AMDEC,Non specifié,"Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/jtekt-recrute-des-charges-de-methodes-assemblage-a-tanger-opportunite-en-cdi/
Touax Maroc recrute: plusieurs postes ouverts en 2025,Touax Maroc,Non spécifié,"Btp, Construction, Logistique",Non spécifié,"Bac+2, bac+3, bac+5",5 ans,"DAO, Excel, Lean, Six sigma",Non specifié,Communication,https://www.dreamjob.ma/emploi/touax-maroc-recrute-plusieurs-postes-ouverts-en-2025/
Concours de Recrutement ONCF 2025 (170 Postes),Non spécifié,Non spécifié,Ferroviaire,Non spécifié,Bac+3,30 ans,Non spécifié,Non specifié,"Initiative, Innovation, Organisé, Rigueur",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-170-postes/
Nestlé recrute: 6 opportunités à pourvoir immédiatement,Nestlé,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,"Bac+2, bac+3",2 ans,"Excel, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nestle-recrute-6-opportunites-a-pourvoir-immediatement/
SIDEN recrute des Techniciens BE/BM et Préparateurs en construction métallique,SIDEN,Non spécifié,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Rigueur,https://www.dreamjob.ma/emploi/siden-recrute-des-techniciens-be-bm-et-preparateurs-en-construction-metallique/
Liste des Convoqués Concours ONCF 2025 (380 Techniciens Spécialisés),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Bac+2,15 ans,Non spécifié,Non specifié,"Autonomie, Initiative",https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-oncf-2025-380-techniciens-specialises/
"15 Opportunités de Stages Rémunérés, Pré-Embauche et PFE",Non spécifié,Non spécifié,Automobile,Stage,"Bac+2, bac+3, bac+5",Non spécifié,Excel,Non specifié,Non spécifié,https://www.dreamjob.ma/stage/15-opportunites-de-stages-remuneres-pre-embauche-et-pfe/
Maghreb Industries recrute Plusieurs Profils sur Nouaceur,Maghreb Industries,Nouaceur,"Agroalimentaire, Logistique, Procédés",CDI,"Bac+2, bac+3, bac+4, bac+5",5 ans,"5S, Automatisme, ERP, Excel, Kaizen, Lean, Lean manufacturing","Français, Anglais","Autonomie, Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maghreb-industries-recrute-plusieurs-profils-sur-nouaceur/
STROC Industrie recrute des stagiaires PFE – Postulez maintenant !,STROC Industrie,Had Soualem,Construction,Stage,Bac+4,Non spécifié,Non spécifié,Non specifié,"Créativité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/stroc-industrie-recrute-des-stagiaires-pfe-postulez-maintenant/
Offres de Stages PFE 2025: Rejoignez Coficab et Boostez votre Carrière,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Gestion de projet, Innovation",https://www.dreamjob.ma/stage/offres-de-stages-pfe-2025-rejoignez-coficab-et-boostez-votre-carriere/
Concours de Recrutement ONCF 2025 (380 Techniciens Spécialisés),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Bac+2,15 ans,Non spécifié,Non specifié,"Autonomie, Initiative",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-380-techniciens-specialises/
Découvrez les (13) Opportunités de Stages et d’Emploi Offertes par Renault Group,Non spécifié,Casablanca,"Automobile, Logistique",Stage,Bac+5,Non spécifié,Non spécifié,Non specifié,Communication,https://www.dreamjob.ma/emploi/decouvrez-les-13-opportunites-de-stages-et-demploi-offertes-par-renault-group/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
